hazard_ratio	followup	stratify	n	w	power
0.3	15	FALSE	800	0	1
0.4	15	FALSE	800	0	1
0.5	15	FALSE	800	0	1
0.6	15	FALSE	800	0	1
0.7	15	FALSE	800	0	1
0.8	15	FALSE	800	0	0.97
0.9	15	FALSE	800	0	0.24
0.1	15	FALSE	900	0	1
0.2	15	FALSE	900	0	1
0.3	15	FALSE	900	0	1
0.4	15	FALSE	900	0	1
0.5	15	FALSE	900	0	1
0.6	15	FALSE	900	0	1
0.7	15	FALSE	900	0	1
0.8	15	FALSE	900	0	0.98
0.9	15	FALSE	900	0	0.23
0.1	15	FALSE	1000	0	1
0.2	15	FALSE	1000	0	1
0.3	15	FALSE	1000	0	1
0.4	15	FALSE	1000	0	1
0.5	15	FALSE	1000	0	1
0.6	15	FALSE	1000	0	1
0.7	15	FALSE	1000	0	1
0.8	15	FALSE	1000	0	1
0.9	15	FALSE	1000	0	0.34
